ModelID,IPAddress,Location,dhcpsubnet
EX2200-24P-4G,10.87.190.1,Alice Springs,10.87.190.0/27
EX2200-24P-4G,10.87.189.1,Casuarina,10.87.189.0/27
EX2200-24P-4G,10.87.229.1,Coolalinga,10.87.229.0/27
EX2200-24P-4G,10.87.191.1,Palmerston,10.87.191.0/27
EX2200-24P-4G,10.87.108.1,Clarkson,10.87.108.0/27
EX2200-24P-4G,10.87.106.1,CE Claremont,10.87.106.0/27
EX2200-24P-4G,10.87.94.1,CE South Perth,10.87.94.0/27
EX2200-24P-4G,10.87.107.1,CE West Perth,10.87.107.0/27
EX2200-24P-4G,10.87.76.1,Joondalup,10.87.76.0/27
EX2200-24P-4G,10.87.80.1,Wanneroo,10.87.80.0/27
EX2200-24P-4G,10.87.98.1,CE Cloverdale,10.87.98.0/27
EX2200-24P-4G,10.87.103.1,CE Duncraig,10.87.103.0/27
EX2200-24P-4G,10.87.74.1,Innaloo,10.87.74.0/27
EX2200-24P-4G,10.87.64.1,Morley,10.87.64.0/27
EX2200-24P-4G,10.87.65.1,Warwick,10.87.65.0/27
EX2200-24P-4G,10.87.81.1,Bunbury,10.87.81.0/27
EX2200-24P-4G,10.87.104.1,CE Bicton,10.87.104.0/27
EX2200-24P-4G,10.87.101.1,CE Brentwood,10.87.101.0/27
EX2200-24P-4G,10.87.100.1,CE Bull Creek,10.87.100.0/27
EX2200-24P-4G,10.87.83.1,East Perth,10.87.83.0/27
EX2200-24P-4G,10.87.66.1,Kardinya,10.87.66.0/27
EX2200-24P-4G,10.87.69.1,Maddington,10.87.69.0/27
EX2200-24P-4G,10.87.93.1,Port Kennedy,10.87.93.0/27
EX2200-24P-4G,10.87.128.1,Ingle Farm,10.87.128.0/27
EX2200-24P-4G,10.86.139.1,Mildura,10.86.139.0/27
EX2200-24P-4G,10.87.138.1,Munno Para,10.87.138.0/27
EX2200-24P-4G,10.87.134.1,Port Adelaide,10.87.134.0/27
EX2200-24P-4G,10.87.139.1,Salisbury,10.87.139.0/27
EX2200-24P-4G,10.87.131.1,West Lakes,10.87.131.0/27
EX2200-24P-4G,10.87.140.1,Adelaide City,10.87.140.0/27
EX2200-24P-4G,10.87.218.1,Churchill Centre,10.87.218.0/27
EX2200-24P-4G,10.87.154.1,CE Modbury,10.87.154.0/27
EX2200-24P-4G,10.87.153.1,CE Rose Park,10.87.153.0/27
EX2200-24P-4G,10.87.130.1,Firle,10.87.130.0/27
EX2200-24P-4G,10.87.129.1,Kurralta Park,10.87.129.0/27
EX2200-24P-4G,10.87.136.1,Marion,10.87.136.0/27
EX2200-24P-4G,10.87.135.1,Mount Gambier,10.87.135.0/27
EX2200-24P-4G,10.87.132.1,Noarlunga,10.87.132.0/27
EX2200-24P-4G,10.87.133.1,Port Pirie,10.87.133.0/27
EX2200-24P-4G,10.87.201.1,Reynella,10.87.201.0/27
EX2200-24P-4G,10.87.137.1,Tea Tree,10.87.137.0/27
